epoch,train acc,val acc
1,0.2782,0.388
2,0.3208,0.3394
3,0.281,0.3493
4,0.2901,0.3636
5,0.3148,0.37
6,0.3348,0.4144
7,0.3554,0.4334
8,0.3829,0.4509
9,0.4068,0.4798
10,0.4279,0.5008
11,0.4466,0.5163
12,0.4576,0.5347
13,0.4695,0.5296
14,0.4785,0.559
15,0.4903,0.548
16,0.492,0.5721
17,0.5002,0.5754
18,0.51,0.5788
19,0.5186,0.5891
20,0.5262,0.5978
21,0.5293,0.5898
22,0.5322,0.5911
23,0.5352,0.6012
24,0.5444,0.6057
25,0.5459,0.6106
26,0.5479,0.6165
27,0.551,0.6094
28,0.5563,0.6127
29,0.5594,0.6156
30,0.5583,0.5966
31,0.5604,0.6076
32,0.5608,0.6031
33,0.5576,0.5942
34,0.5672,0.597
35,0.5589,0.6025
36,0.5666,0.5842
37,0.5698,0.6019
38,0.5761,0.6029
39,0.5744,0.5982
40,0.5744,0.5993
41,0.5794,0.6028
42,0.5748,0.5814
43,0.5781,0.5856
44,0.5821,0.607
45,0.5824,0.5966
46,0.5828,0.5917
47,0.586,0.5987
48,0.5868,0.6019
49,0.5886,0.5823
50,0.5879,0.5945
51,0.5868,0.5873
52,0.5944,0.5926
53,0.5936,0.5818
54,0.5966,0.5751
55,0.594,0.5802
56,0.6034,0.5732
57,0.5994,0.5778
58,0.6007,0.581
59,0.6068,0.5736
60,0.6058,0.5622
61,0.6114,0.5726
62,0.6116,0.5693
63,0.6124,0.5784
64,0.6091,0.563
65,0.6113,0.5802
66,0.6125,0.5614
67,0.6186,0.5616
68,0.6172,0.5669
69,0.6186,0.559
70,0.6238,0.5612
71,0.624,0.5711
72,0.6246,0.5716
